slug,id,source,reason,logo_url
mjh-radio-nova-919,mjh-radio-nova-919,au:Adelaide:radio,http-429,https://novafm.com.au/assets/nova/cards/generic-album-art.jpg
bein-t0gazj,bein-t0gazj,extras-remote,http-404,https://raw.githubusercontent.com/tv-logo/tv-logos/refs/heads/main/countries/united-states/bein-sports-1-us.png
fox-1534l9x,fox-1534l9x,extras-remote,http-403,https://watch.foxtel.com.au/app/imageHelper.php?id=542983:206:CHANNEL:IMAGE:png&amp;w=400
fox-16zb2up,fox-16zb2up,extras-remote,http-403,https://watch.foxtel.com.au/app/imageHelper.php?id=504388:206:CHANNEL:IMAGE:png&amp;w=400
fox-dolunp,fox-dolunp,extras-remote,http-403,https://watch.foxtel.com.au/app/imageHelper.php?id=542983:206:CHANNEL:IMAGE:png&amp;w=400
fox-11wj5xe,fox-11wj5xe,extras-remote,http-403,https://watch.foxtel.com.au/app/imageHelper.php?id=542984:206:CHANNEL:IMAGE:png&amp;w=400
fox-11wj5xg,fox-11wj5xg,extras-remote,http-403,https://watch.foxtel.com.au/app/imageHelper.php?id=264274:206:CHANNEL:IMAGE:png&amp;w=400
fox-15k67o4,fox-15k67o4,extras-remote,http-403,https://watch.foxtel.com.au/app/imageHelper.php?id=542984:206:CHANNEL:IMAGE:png&amp;w=400
fox-16i9ggi,fox-16i9ggi,extras-remote,http-403,https://watch.foxtel.com.au/app/imageHelper.php?id=264274:206:CHANNEL:IMAGE:png&amp;w=400
fox-uz40dx,fox-uz40dx,extras-remote,http-403,https://watch.foxtel.com.au/app/imageHelper.php?id=542982:206:CHANNEL:IMAGE:png&amp;w=400
fox-11wj5xh,fox-11wj5xh,extras-remote,http-403,https://watch.foxtel.com.au/app/imageHelper.php?id=504388:206:CHANNEL:IMAGE:png&amp;w=400
fox-11wj5xf,fox-11wj5xf,extras-remote,http-403,https://watch.foxtel.com.au/app/imageHelper.php?id=542985:206:CHANNEL:IMAGE:png&amp;w=400
espn-45omt7,espn-45omt7,extras-remote,http-403,https://watch.foxtel.com.au/app/imageHelper.php?id=570991:206:CHANNEL:IMAGE:png&amp;w=400
fox-11wj5xi,fox-11wj5xi,extras-remote,http-403,https://watch.foxtel.com.au/app/imageHelper.php?id=1704826:206:CHANNEL:IMAGE:png&amp;w=400
espn-70rp1i,espn-70rp1i,extras-remote,http-403,https://watch.foxtel.com.au/app/imageHelper.php?id=570992:206:CHANNEL:IMAGE:png&amp;w=400
fox-11wj5xd,fox-11wj5xd,extras-remote,http-403,https://watch.foxtel.com.au/app/imageHelper.php?id=542983:206:CHANNEL:IMAGE:png&amp;w=400
fox-1617u2b,fox-1617u2b,extras-remote,http-403,https://watch.foxtel.com.au/app/imageHelper.php?id=542985:206:CHANNEL:IMAGE:png&amp;w=400
main-t6tu8r,main-t6tu8r,extras-remote,http-403,https://watch.foxtel.com.au/app/imageHelper.php?id=16859930:206:CHANNEL:IMAGE:png&amp;w=400
fox-11wj5xc,fox-11wj5xc,extras-remote,http-403,https://watch.foxtel.com.au/app/imageHelper.php?id=542982:206:CHANNEL:IMAGE:png&amp;w=400
sky-1v3hpzx,sky-1v3hpzx,extras-remote,net-error:ClientConnectorError,https://i.ibb.co/rcSRMh9/sky-sports-pl.png
sky-1otkyr1,sky-1otkyr1,extras-remote,net-error:ClientConnectorError,https://i.ibb.co/rcSRMh9/sky-sports-pl.png
sky-rk4g6c,sky-rk4g6c,extras-remote,net-error:ClientConnectorError,https://i.ibb.co/JyPnwvB/sky-cricket.png
sky-fhjt1m,sky-fhjt1m,extras-remote,net-error:ClientConnectorError,https://i.ibb.co/QvhY4tX/sky-golf.png
sky-hpp0vp,sky-hpp0vp,extras-remote,net-error:ClientConnectorError,https://i.ibb.co/7kYj5gc/sky-mix.png
sky-i7lp6,sky-i7lp6,extras-remote,net-error:ClientConnectorError,https://i.ibb.co/ccNV9ppd/Sky-Sportsplus.png
sky-nwvfv,sky-nwvfv,extras-remote,net-error:ClientConnectorError,https://i.ibb.co/ccNV9ppd/Sky-Sportsplus.png
